,Address,Description,Laundry,Price,Beds,Baths,Date Listed,Property Type,Estimated Monthly Mortgage Payment ($),Link
0,"4303 - 8 Eglinton Ave E , Mount Pleasant West, Toronto, ON, M4P 0C1","Now Or Never! Luxury E-Condo Building On The Hallmark Corner Of Yonge & Eglinton! This Cozy 1Br Unit For A Total Of (546Sqft). Walkout To Balcony From Living Room Or Master Br To Enjoy The Majestic Unobstructed West Views Of The City From The Soaring 40th Floor. High Quality Upgrades Was Purchased Directly From The Builder. Spa Like Amenities And Convenient Underground Access To Subway. Property Has Been Meticulously Maintained! **** EXTRAS **** B/I Fridge, Cook-Top, B/I Oven, B/I Microwave, B/I Dishwasher, Stacked Washer & Dryer, All Electrical Light Fixtures, All Window Coverings (All Existing Furniture Will Be Removed)",Yes,598800 ,1.0,1.0,"Date Listed: Mar 10, 2022",Property Type: Condo,2267 ,https://www.remax.ca/on/toronto-real-estate/4303-8-eglinton-ave-e-wp_id311600407-lst
1,"3025 Queen St E , The Beaches, Toronto, ON, M1N 1A5","Rarely Offered An Excellent Opportunity In The Beaches, In A Highly Sought-After Area. Lakeside Chateau Des Quatre Vents. Situated Below Queen St And Nestled Among Nature In A Private Setting With Unobstructed Views Of Lake Ontario. Be Your Own Landlord And Enjoy Your Own Suite Of Upwards Of 2,500 Sq Ft Of Serenity.**** EXTRAS **** 3 Suites Are Ready To Produce Income. Extra Land To Build Laneway House Or Garage For More Income. All Of The Base Building Systems Have Been Upgraded. All The Suites Will Be Vacant On Closing. Yearly Gross Income Potential Of $334,560.00 (id:7668)",No,5889000 ,,,"Date Listed: Mar 10, 2022",Property Type: MultiFamily,22296 ,https://www.remax.ca/on/toronto-real-estate/3025-queen-st-e-wp_id311630463-lst
2,"203 - 330 Richmond St W , Waterfront Communities C1, Toronto, ON, M5V 0M4","Enjoy 5-Star Hotel-Style Condo Living In Downtown Toronto! 747 Sq. Ft. Of A Bright & Open Concept Layout, End Unit, 1 Bed/1.5 Bath (Rarely Offered), Floor To Ceiling Windows With Custom Blinds, All Wood / Ceramic Flooring, Updated Bathrooms With Tile Flooring & Primary Ensuite With White Tiled Shower, Stunning Kitchen Featuring Quartz Counters With A W/O To 20 Ft. Terrace!**** EXTRAS **** Amenities Include: Gym, Yoga Studio, Games Room, Sauna, Rooftop Pool, 24 Hour Concierge & Much More. Inclusions: Fridge, Oven, Cooktop, Dishwasher, Microwave, All Elf's & Custom Blinds. (id:7668)",No,749999 ,1.0,2.0,"Date Listed: Mar 10, 2022",Property Type: Condo,2839 ,https://www.remax.ca/on/toronto-real-estate/203-330-richmond-st-w-wp_id311614386-lst
3,"878 - 209 Fort York Blvd , Niagara, Toronto, ON, M5V 4A1","Luxury 2 Bdrs W/2 Bath Condo - Waterpark City Neptune 2! Great Open Concept Flr Plan. East Exposure Over Looks Park, Plenty Of Sunshine, 9'Ceiling.1 Parking. Ttc @ Door! Steps To Lake,Parks,Cne.Close To Rogers Centre,Acc,Cn Tower.Mins To Theatre & Restaurant District. Modern Amenities With Indoor Pool, Yoga, Billiards, Games, Party & Fitness Rooms, Theatre. Visitor Parkings. Club Odyssey On 3rd Floor, Rooftop Garden With Jacuzzi & Bbq Lounge On 8th Floor.**** EXTRAS **** Stainless Steel Stove, Fridge, B/I Dishwasher, B/I Microwave. Stacked Washer & Dryer. Triple A Tenants On Monthly Lease Willing To Stay. Call La For Details. (id:7668)",Yes,818000 ,2.0,2.0,"Date Listed: Mar 10, 2022",Property Type: Condo,3097 ,https://www.remax.ca/on/toronto-real-estate/878-209-fort-york-blvd-wp_id311614385-lst
4,"415 - 99 The Donway W , Banbury-Don Mills, Toronto, ON, M3C 0N8","Welcome To This Extensively Renovated Unit At Flaire Condos! This 644 Sqft Condo Features Incredible, Floor To Ceiling Windows, With An Open Concept Layout. Enjoy Breathtaking Views On Your 113 Sqft Balcony, Overlooking The Shops Of Don Mills! Easy Access To Shopping, Restaurants, And All This Area Has To Offer! 5 Star Amenities Include Pet Spa, Theatre, Concierge, Gym, Roof Top Garden & Much More. True Pride Of Ownership!!!!**** EXTRAS **** Newer Appliances; Samsung Stove And D/W, Fridge, Microwave, Washer, Dryer. Built In Island W/ Marble Countertop,  Bathroom Vanity, Mirror. Custom Blinds In Living Space And Bedroom. Marble Counter Top And Backsplash. Parking Included. (id:7668)",Yes,649000 ,2.0,1.0,"Date Listed: Mar 10, 2022",Property Type: Condo,2457 ,https://www.remax.ca/on/toronto-real-estate/415-99-the-donway-w-wp_id311614404-lst
5,"29 Rochdale Ave , Caledonia-Fairbank, Toronto, ON, M6E 1W9","Welcome To 29 Rochdale Ave. This Charming Bungalow Is Perfect For A Young Family Or Even Downsizing From A Larger Home. Just A Short Walk Away From The Almost Completed Eglinton Lrt And Plenty Of Amenities. The Backyard Oasis Is Just Perfect For Catching The Sun, Stargazing, And Entertaining With Multiple Levels Offering Fine Craftsmanship Your Guests Will Be Stunned. Lots Of Outdoor Storage With Two Lg Sheds. A Wonderful Neighborhood For Children To Play.**** EXTRAS **** Entertainers Backyard, Large Stone Patio And Retaining Walls, Multi-Level Wood Deck Areas. Fridge, Stove, Washer And Dryer, A/C, Furnace. All Window Coverings & Light Fixtures Two Spacious Sheds. (id:7668)",Yes,798888 ,2.0,2.0,"Date Listed: Mar 10, 2022",Property Type: Single Family,3025 ,https://www.remax.ca/on/toronto-real-estate/29-rochdale-ave-wp_id311614592-lst
6,"2010 - 87 Peter St , Waterfront Communities C1, Toronto, ON, M5V 0P1","Ne Corner 1 Bed + Den With Sliding Glass Doors(Large Enough To Be A Bedroom),Laminate Flooring Thru-Out, 9 Ft Ceiling, Approx.574 Sf, Lots Of Natural Lights, Large Open Balcony, Open Concept Modern Kitchen With Quartz Counter-Top And Stainless Steel Appliances, Stacked Front-Load Washer &Dryer, Lux Building By Menkes In The Heart Of Downtown Toronto, Steps To Ttc Walk To Hotels, Restaurants, Shopping**** EXTRAS **** Existing Electrical Light Fixtures, Existing Window Coverings, Existing Built-In Fridge, Cook-Top, Oven, Dishwasher And Hood. Microwave, Front Loading Washer & Dryer (id:7668)",Yes,718000 ,2.0,1.0,"Date Listed: Mar 10, 2022",Property Type: Condo,2718 ,https://www.remax.ca/on/toronto-real-estate/2010-87-peter-st-wp_id311630395-lst
7,"417 - 30 Roehampton Ave , Mount Pleasant West, Toronto, ON, M4P 0B9","Green Builder Of The Year - """"Minto 30 Roe"""", In The Heart Of Yonge & Eglinton. Unobstructed East View, Bright & Spacious 1+Den W/O Private Balcony For Enjoyment. Overlooks Soccer Field. 9 Feet Ceiling. Just Steps Away From The Subway & Upcoming Eglinton Crosstown Lrt, Shopping, Restaurants, Parks, Top Schools & More! Stunning Architecture, Sophisticated Interiors, Fabulous Design & Exciting Amenities Including A State Of The Art 6,000 Sf Fitness Centre!**** EXTRAS **** 610' Interior + 65' Private Balcony. Caesar Stone B'fast Counter, Stainless Steel (Fridge, Stove, Dishwasher & Microwave), Washer & Dryer, All Elf & Window Coverings. Private Locker On Same Floor For Extra Storage. Status Cert Applied. (id:7668)",Yes,788000 ,2.0,1.0,"Date Listed: Mar 10, 2022",Property Type: Condo,2983 ,https://www.remax.ca/on/toronto-real-estate/417-30-roehampton-ave-wp_id311630420-lst
8,"5310 - 197 Yonge St , Church-Yonge Corridor, Toronto, ON, M5B 0C1","Lake And Cn Tower View, Minutes To Dundas Sq, Ryerson University & George Brown College, 9Ft Ceilings Luxurious Facilities, Sauna, Juice Bar, Lounge, Exercise Room Guest Suites Etc.**** EXTRAS **** European Style Kitchen And Appliances: B/I Fridge, Cooktop Oven, B/I Dishwasher, Washer, Dryer, Existing Light Fixtures. (id:7668)",Yes,699999 ,2.0,1.0,"Date Listed: Mar 10, 2022",Property Type: Condo,2650 ,https://www.remax.ca/on/toronto-real-estate/5310-197-yonge-st-wp_id311630397-lst
9,"3761a St Clair Ave E , Cliffcrest, Toronto, ON, M1M 0C8","Beautiful Less Than 5 Year New Very Bright & Spacious 4+1 Bedroom Freehold Townhouse Located In A Magnificent Neighbourhood. Freshly Painted And Recently Updated. Direct Access From Unit To Garage; Great Location; Stroll To Bluffers Park Marina! Ttc Right Outside The Front Door, Minutes To Subway, Go Stn, And 401. Rh King School, Shopping Mall & Hospital, All Amenities.**** EXTRAS **** Ss Fridge, Ss Range, Ss Stove, Ss Dishwasher, Washer/Dryer. Hot Water Tank Owned. Potl Monthly Fee Of $127.00 Incl Snow Removal, Landscapng,Common Lighting,Fencing Repair (id:7668)",Yes,999000 ,5.0,3.0,"Date Listed: Mar 10, 2022",Property Type: Townhome,3782 ,https://www.remax.ca/on/toronto-real-estate/3761a-st-clair-ave-e-wp_id311630435-lst
